date,sym,time,volume,price
2023-07-01,EURCHF,2023-07-01D00:02:17.283986806,68,99.95741
2023-07-01,EURCHF,2023-07-01D00:02:18.476677983,40,100.0537
2023-07-01,EURCHF,2023-07-01D00:03:50.330716073,41,100.0887
2023-07-01,EURCHF,2023-07-01D00:04:40.553014576,80,100.0162
2023-07-01,EURCHF,2023-07-01D00:05:54.744505137,89,99.77966
2023-07-01,EURCHF,2023-07-01D00:05:55.598594248,29,100.243
2023-07-01,EURCHF,2023-07-01D00:07:30.353904068,31,100.5475
2023-07-01,EURCHF,2023-07-01D00:08:32.662960588,61,100.9215
2023-07-01,EURCHF,2023-07-01D00:14:20.902129858,0,101.2245
2023-07-01,EURCHF,2023-07-01D00:15:37.381316721,91,100.92
2023-07-01,EURCHF,2023-07-01D00:17:24.236279278,84,101.2572
2023-07-01,EURCHF,2023-07-01D00:18:16.477335691,29,101.0121
2023-07-01,EURCHF,2023-07-01D00:20:27.447295188,96,101.2445
2023-07-01,EURCHF,2023-07-01D00:22:09.422340542,81,101.6677
2023-07-01,EURCHF,2023-07-01D00:23:16.657220274,82,101.2644
2023-07-01,EURCHF,2023-07-01D00:23:47.395939081,43,100.9823
2023-07-01,EURCHF,2023-07-01D00:24:07.277424484,3,100.85
2023-07-01,EURCHF,2023-07-01D00:24:42.955323904,28,101.2978
2023-07-01,EURCHF,2023-07-01D00:26:11.721851080,83,101.3985
2023-07-01,EURCHF,2023-07-01D00:26:52.832450866,90,101.8256
2023-07-01,EURCHF,2023-07-01D00:30:08.106547594,53,102.2838
2023-07-01,EURCHF,2023-07-01D00:30:40.928719192,26,101.7906
2023-07-01,EURCHF,2023-07-01D00:30:43.443632125,29,102.0193
2023-07-01,EURCHF,2023-07-01D00:32:38.342284709,86,101.6822
2023-07-01,EURCHF,2023-07-01D00:35:42.550257593,8,102.0938
2023-07-01,EURCHF,2023-07-01D00:36:12.307066619,0,102.1072
2023-07-01,EURCHF,2023-07-01D00:37:12.607383280,3,101.8308
2023-07-01,EURCHF,2023-07-01D00:44:55.989138632,5,101.6535
2023-07-01,EURCHF,2023-07-01D00:45:02.601514756,1,101.8311
2023-07-01,EURCHF,2023-07-01D00:46:17.885636687,37,101.8664
2023-07-01,EURCHF,2023-07-01D00:50:01.347611099,4,101.6146
2023-07-01,EURCHF,2023-07-01D00:51:15.678449124,56,102.0272
2023-07-01,EURCHF,2023-07-01D00:51:53.483816385,83,101.9294
2023-07-01,EURCHF,2023-07-01D00:51:58.234605342,45,102.0706
2023-07-01,EURCHF,2023-07-01D00:53:04.137225151,18,101.8275
2023-07-01,EURCHF,2023-07-01D00:58:54.174634516,36,102.2885
2023-07-01,EURCHF,2023-07-01D01:01:17.711272984,7,102.491
2023-07-01,EURCHF,2023-07-01D01:03:55.853726416,19,102.5934
2023-07-01,EURCHF,2023-07-01D01:04:53.767514079,3,102.2711
2023-07-01,EURCHF,2023-07-01D01:05:32.230009138,23,102.6713
2023-07-01,EURCHF,2023-07-01D01:06:36.657481044,33,103.121
2023-07-01,EURCHF,2023-07-01D01:07:31.072595268,83,103.5028
2023-07-01,EURCHF,2023-07-01D01:07:31.743080466,64,103.7247
2023-07-01,EURCHF,2023-07-01D01:08:04.394603222,12,103.4212
2023-07-01,EURCHF,2023-07-01D01:09:44.193438291,3,103.8347
2023-07-01,EURCHF,2023-07-01D01:10:15.782102197,12,103.9064
2023-07-01,EURCHF,2023-07-01D01:10:53.189060836,8,104.226
2023-07-01,EURCHF,2023-07-01D01:11:36.811113506,38,104.7226
2023-07-01,EURCHF,2023-07-01D01:11:57.647351324,94,104.9269
2023-07-01,EURCHF,2023-07-01D01:13:56.438760906,70,104.5866
2023-07-01,EURCHF,2023-07-01D01:16:45.687510967,73,104.6863
2023-07-01,EURCHF,2023-07-01D01:17:21.506930440,66,104.8917
2023-07-01,EURCHF,2023-07-01D01:25:35.021393001,17,104.4012
2023-07-01,EURCHF,2023-07-01D01:26:07.003034055,32,104.1397
2023-07-01,EURCHF,2023-07-01D01:26:47.662902027,10,104.3208
2023-07-01,EURCHF,2023-07-01D01:31:26.624494939,60,104.3431
2023-07-01,EURCHF,2023-07-01D01:31:41.302890479,38,104.2708
2023-07-01,EURCHF,2023-07-01D01:32:14.026390314,0,104.0831
2023-07-01,EURCHF,2023-07-01D01:33:57.458418309,75,103.959
2023-07-01,EURCHF,2023-07-01D01:35:58.725815266,18,104.2429
2023-07-01,EURCHF,2023-07-01D01:40:39.895724505,95,104.2513
2023-07-01,EURCHF,2023-07-01D01:43:04.509967267,17,103.8013
2023-07-01,EURCHF,2023-07-01D01:44:01.266971826,72,103.8949
2023-07-01,EURCHF,2023-07-01D01:44:15.922635644,91,103.7462
2023-07-01,EURCHF,2023-07-01D01:44:52.917204648,2,104.0054
2023-07-01,EURCHF,2023-07-01D01:45:21.068812161,23,104.2852
2023-07-01,EURCHF,2023-07-01D01:45:35.797981917,20,104.0138
2023-07-01,EURCHF,2023-07-01D01:48:17.285196930,67,103.561
2023-07-01,EURCHF,2023-07-01D01:49:21.142686009,56,104.049
2023-07-01,EURCHF,2023-07-01D01:49:35.670931488,49,104.2327
2023-07-01,EURCHF,2023-07-01D01:50:15.551463514,31,104.6165
2023-07-01,EURCHF,2023-07-01D01:50:52.568361908,94,104.7125
2023-07-01,EURCHF,2023-07-01D01:53:31.385766416,91,104.4044
2023-07-01,EURCHF,2023-07-01D01:54:05.637964457,29,104.8348
2023-07-01,EURCHF,2023-07-01D01:54:56.937062591,67,105.0415
2023-07-01,EURCHF,2023-07-01D01:55:04.818693548,48,105.3394
2023-07-01,EURCHF,2023-07-01D01:56:47.207677513,67,105.4727
2023-07-01,EURCHF,2023-07-01D02:00:31.339010596,91,105.5527
2023-07-01,EURCHF,2023-07-01D02:03:13.646257370,48,105.5982
2023-07-01,EURCHF,2023-07-01D02:04:42.932174205,22,105.7866
2023-07-01,EURCHF,2023-07-01D02:05:47.340314090,73,105.3534
2023-07-01,EURCHF,2023-07-01D02:06:22.936701178,54,104.9343
2023-07-01,EURCHF,2023-07-01D02:09:17.317368686,96,104.5533
2023-07-01,EURCHF,2023-07-01D02:10:19.935234635,86,104.821
2023-07-01,EURCHF,2023-07-01D02:10:29.088091850,94,104.4715
2023-07-01,EURCHF,2023-07-01D02:11:19.816000163,17,104.424
2023-07-01,EURCHF,2023-07-01D02:11:27.940900772,10,104.6971
2023-07-01,EURCHF,2023-07-01D02:12:34.611711949,36,104.7618
2023-07-01,EURCHF,2023-07-01D02:12:40.468328744,76,104.8289
2023-07-01,EURCHF,2023-07-01D02:15:58.374638110,87,104.7932
2023-07-01,EURCHF,2023-07-01D02:16:37.788626700,70,104.8576
2023-07-01,EURCHF,2023-07-01D02:18:11.586790233,26,104.4628
2023-07-01,EURCHF,2023-07-01D02:21:49.374766051,73,104.5747
2023-07-01,EURCHF,2023-07-01D02:23:58.939643651,3,104.7059
2023-07-01,EURCHF,2023-07-01D02:24:02.143227159,68,105.0482
2023-07-01,EURCHF,2023-07-01D02:28:09.009902626,4,105.4118
2023-07-01,EURCHF,2023-07-01D02:28:40.440188795,0,104.9455
2023-07-01,EURCHF,2023-07-01D02:28:43.256528377,99,104.6091
2023-07-01,EURCHF,2023-07-01D02:29:35.933631509,98,105.0833
2023-07-01,EURCHF,2023-07-01D02:30:42.125608026,8,105.43
2023-07-01,EURCHF,2023-07-01D02:31:40.934522598,81,105.3958
2023-07-01,EURCHF,2023-07-01D02:32:25.461720228,76,105.6862
2023-07-01,EURCHF,2023-07-01D02:37:58.426942974,12,105.4605
2023-07-01,EURCHF,2023-07-01D02:40:31.078498810,93,105.6687
2023-07-01,EURCHF,2023-07-01D02:40:37.358710169,1,105.6058
2023-07-01,EURCHF,2023-07-01D02:41:27.476040422,72,105.5244
2023-07-01,EURCHF,2023-07-01D02:41:56.172143071,65,106.0217
2023-07-01,EURCHF,2023-07-01D02:42:44.125272631,4,105.5337
2023-07-01,EURCHF,2023-07-01D02:44:48.095048814,3,105.4101
2023-07-01,EURCHF,2023-07-01D02:47:31.943103968,14,105.8448
2023-07-01,EURCHF,2023-07-01D02:48:06.942471563,82,105.4276
2023-07-01,EURCHF,2023-07-01D02:49:19.582914411,22,105.135
2023-07-01,EURCHF,2023-07-01D02:52:03.344790190,5,105.5196
2023-07-01,EURCHF,2023-07-01D02:55:29.070208221,43,105.4292
2023-07-01,EURCHF,2023-07-01D02:57:11.635634600,96,105.4148
2023-07-01,EURCHF,2023-07-01D02:58:50.329245328,87,105.1205
2023-07-01,EURCHF,2023-07-01D03:02:19.921188354,31,105.3936
2023-07-01,EURCHF,2023-07-01D03:02:46.871394216,89,105.4451
2023-07-01,EURCHF,2023-07-01D03:02:51.029066294,12,105.0479
2023-07-01,EURCHF,2023-07-01D03:04:35.392994284,98,105.2132
2023-07-01,EURCHF,2023-07-01D03:06:34.699589162,77,104.7484
2023-07-01,EURCHF,2023-07-01D03:10:24.518620222,7,104.2707
2023-07-01,EURCHF,2023-07-01D03:13:11.581162065,43,104.3634
2023-07-01,EURCHF,2023-07-01D03:14:03.095064908,3,104.6535
2023-07-01,EURCHF,2023-07-01D03:19:08.111736774,83,105.1175
2023-07-01,EURCHF,2023-07-01D03:19:15.105563253,22,105.5991
2023-07-01,EURCHF,2023-07-01D03:19:21.514641344,83,105.3064
2023-07-01,EURCHF,2023-07-01D03:19:41.539256125,46,105.3051
2023-07-01,EURCHF,2023-07-01D03:20:25.871001183,65,105.214
2023-07-01,EURCHF,2023-07-01D03:21:23.839184045,73,105.0939
2023-07-01,EURCHF,2023-07-01D03:21:46.247913837,68,105.2506
2023-07-01,EURCHF,2023-07-01D03:22:20.579894184,47,105.0978
2023-07-01,EURCHF,2023-07-01D03:23:11.579014062,3,104.8079
2023-07-01,EURCHF,2023-07-01D03:24:57.258304059,90,104.4693
2023-07-01,EURCHF,2023-07-01D03:25:21.401846408,26,104.9575
2023-07-01,EURCHF,2023-07-01D03:26:54.147692173,92,104.9171
2023-07-01,EURCHF,2023-07-01D03:27:41.832064390,85,104.9834
2023-07-01,EURCHF,2023-07-01D03:29:16.112764030,50,104.7887
2023-07-01,EURCHF,2023-07-01D03:32:01.069020777,12,104.6002
2023-07-01,EURCHF,2023-07-01D03:32:38.374008536,38,104.62
2023-07-01,EURCHF,2023-07-01D03:33:28.851586282,45,104.6516
2023-07-01,EURCHF,2023-07-01D03:33:47.047122269,78,104.5387
2023-07-01,EURCHF,2023-07-01D03:35:06.083768606,88,104.2344
2023-07-01,EURCHF,2023-07-01D03:35:26.690496504,59,104.439
2023-07-01,EURCHF,2023-07-01D03:39:31.989246457,70,104.0606
2023-07-01,EURCHF,2023-07-01D03:39:39.498278349,21,103.9248
2023-07-01,EURCHF,2023-07-01D03:45:51.313722878,93,104.1042
2023-07-01,EURCHF,2023-07-01D03:47:21.048762202,98,104.015
2023-07-01,EURCHF,2023-07-01D03:50:28.835774212,42,103.7687
2023-07-01,EURCHF,2023-07-01D03:51:32.410404234,47,103.7833
2023-07-01,EURCHF,2023-07-01D03:51:40.722630321,2,103.6393
2023-07-01,EURCHF,2023-07-01D03:52:48.983877450,50,103.3861
2023-07-01,EURCHF,2023-07-01D03:53:47.714377641,98,103.7202
2023-07-01,EURCHF,2023-07-01D03:54:20.407561808,87,103.2938
2023-07-01,EURCHF,2023-07-01D03:56:35.491761714,39,103.2947
2023-07-01,EURCHF,2023-07-01D03:56:41.664409786,30,103.1564
2023-07-01,EURCHF,2023-07-01D03:57:03.871048539,72,102.9955
2023-07-01,EURCHF,2023-07-01D03:58:57.145771086,52,103.4492
2023-07-01,EURCHF,2023-07-01D04:06:52.848119437,85,103.815
2023-07-01,EURCHF,2023-07-01D04:07:46.505603492,34,103.6183
2023-07-01,EURCHF,2023-07-01D04:08:03.384671062,43,103.8068
2023-07-01,EURCHF,2023-07-01D04:09:46.402197182,75,104.2639
2023-07-01,EURCHF,2023-07-01D04:10:12.843735515,72,104.0455
2023-07-01,EURCHF,2023-07-01D04:11:44.451365768,68,103.88
2023-07-01,EURCHF,2023-07-01D04:13:27.718981057,60,104.0954
2023-07-01,EURCHF,2023-07-01D04:15:23.094154894,5,103.6907
2023-07-01,EURCHF,2023-07-01D04:17:51.769932657,23,103.7224
2023-07-01,EURCHF,2023-07-01D04:17:55.543921440,34,103.9113
2023-07-01,EURCHF,2023-07-01D04:19:13.696062415,36,103.8543
2023-07-01,EURCHF,2023-07-01D04:19:41.988003104,48,104.0244
2023-07-01,EURCHF,2023-07-01D04:20:03.434818982,59,103.9793
2023-07-01,EURCHF,2023-07-01D04:21:01.754900961,86,104.4551
2023-07-01,EURCHF,2023-07-01D04:21:45.327346175,1,104.6668
